dim,acad,industry,pooled
SOUND,33.33333333333333,38.88888888888889,34.40860215053764
VOICE,50.66666666666667,33.33333333333333,47.31182795698925
SERVICE,61.33333333333333,61.111111111111114,61.29032258064516
SCRIPT,85.33333333333334,83.33333333333334,84.94623655913979
